pitcher,k,team,ip,xfip,siera,KBB,K-BB%,stuff_plus
Joe La Sorsa,joe la sorsa,BOS,0.1,1.62,1.57,0.5,50.0%,111
Yacksel Ríos,yacksel ros,CHC,1.2,1.59,1.21,0.4,40.0%,106
Manuel Rodríguez,manuel rodrguez,TB,1.0,0.09,2.19,0.4,40.0%,86
Mason Miller,mason miller,SD,55.1,1.47,1.49,0.386,38.6%,119
Miguel Ullola,miguel ullola,HOU,6.0,2.6,1.99,0.348,34.8%,107
P.J. Higgins,pj higgins,CIN,1.0,4.11,4.37,0.3329999999999999,33.3%,24
Jacob Misiorowski,jacob misiorowski,MIL,145.0,2.1,2.14,0.3329999999999999,33.3%,128
Nate Lavender,nate lavender,NYM,7.2,2.84,1.99,0.32,32.0%,97
Jhoan Duran,jhoan duran,PHI,46.1,1.64,1.63,0.308,30.8%,122
Samy Natera Jr.,samy natera jr,LAA,27.0,2.93,2.23,0.308,30.8%,111
Daniel Espino,daniel espino,CLE,6.0,2.09,2.41,0.296,29.6%,110
Mason Montgomery,mason montgomery,PIT,52.2,2.03,2.19,0.295,29.5%,111
Zach Eflin,zach eflin,BAL,3.2,1.73,2.58,0.294,29.4%,95
Ben Joyce,ben joyce,LAA,6.2,2.64,2.22,0.292,29.2%,124
Andrés Muñoz,andrs muoz,SEA,47.1,2.21,2.23,0.286,28.6%,119
Ricky Tiedemann,ricky tiedemann,TOR,1.2,2.5,2.9,0.286,28.6%,119
Drew Sommers,drew sommers,DET,26.0,2.05,2.22,0.284,28.4%,119
Carl Edwards Jr.,carl edwards jr,NYM,6.0,2.43,2.64,0.28,28.0%,88
Cam Booser,cam booser,TB,31.0,3.31,2.61,0.2739999999999999,27.4%,113
Nick Pivetta,nick pivetta,SD,16.0,3.19,2.84,0.273,27.3%,102
Brian Keller,brian keller,PHI,3.0,3.6,3.01,0.273,27.3%,100
Dylan Lee,dylan lee,ATL,58.2,2.96,2.45,0.268,26.8%,114
Josh Hader,josh hader,HOU,32.0,2.75,2.44,0.267,26.7%,117
Tanner Scott,tanner scott,LAD,52.1,2.86,2.44,0.265,26.5%,120
Tarik Skubal,tarik skubal,2 Tms,120.2,2.61,2.74,0.264,26.4%,118
Kervin Castro,kervin castro,NYY,6.1,2.46,2.38,0.261,26.1%,99
Riley Martin,riley martin,CHC,8.1,3.04,2.6,0.258,25.8%,109
Tyler Ferguson,tyler ferguson,2 Tms,17.0,3.66,2.67,0.257,25.7%,104
Cade Smith,cade smith,CLE,59.0,2.93,2.53,0.255,25.5%,113
Chris Sale,chris sale,ATL,135.0,2.73,2.81,0.255,25.5%,118
Didier Fuentes,didier fuentes,ATL,57.1,2.84,2.55,0.253,25.3%,114
Dylan Cease,dylan cease,TOR,144.1,2.74,3.01,0.25,25.0%,106
Chris Devenski,chris devenski,PIT,2.1,2.46,2.53,0.25,25.0%,106
Garrett Whitlock,garrett whitlock,BOS,44.0,2.91,2.58,0.25,25.0%,99
Bradley Hanner,bradley hanner,NYY,2.2,2.53,2.64,0.25,25.0%,117
Jack Ralston,jack ralston,MIA,2.0,2.6,2.08,0.25,25.0%,125
Cam Schlittler,cam schlittler,NYY,158.0,2.9,2.92,0.249,24.9%,113
Louis Varland,louis varland,TOR,66.1,2.38,2.38,0.248,24.8%,115
Gavin Williams,gavin williams,CLE,154.2,2.86,2.96,0.246,24.6%,105
Logan Henderson,logan henderson,MIL,69.1,3.24,3.1,0.246,24.6%,104
Will Dion,will dion,2 Tms,31.2,3.21,2.69,0.246,24.6%,110
Tyler Glasnow,tyler glasnow,LAD,39.2,2.89,3.01,0.243,24.3%,103
Jacob deGrom,jacob degrom,TEX,126.2,3.07,3.05,0.241,24.1%,109
Brandyn Garcia,brandyn garcia,ARI,37.0,2.63,2.28,0.241,24.1%,116
Jonathan Bowlan,jonathan bowlan,PHI,46.2,2.79,2.57,0.241,24.1%,111
Kyle Harrison,kyle harrison,MIL,98.1,3.02,3.04,0.239,23.9%,106
Grant Taylor,grant taylor,CWS,68.0,2.84,2.7,0.237,23.7%,106
Jeff Hoffman,jeff hoffman,2 Tms,55.2,2.9,2.71,0.237,23.7%,106
Brent Headrick,brent headrick,NYY,66.1,3.08,2.77,0.233,23.3%,104
Jack Dreyer,jack dreyer,LAD,52.2,3.02,2.76,0.23,23.0%,104
Adrian Morejon,adrian morejon,SD,71.0,2.49,2.39,0.228,22.8%,129
Trevor Megill,trevor megill,MIL,50.0,3.38,2.87,0.228,22.8%,114
Jesús Luzardo,jess luzardo,PHI,156.0,2.92,3.08,0.228,22.8%,111
Tayler Saucedo,tayler saucedo,LAA,10.1,3.83,2.94,0.2269999999999999,22.7%,97
Logan VanWey,logan vanwey,HOU,6.0,3.43,3.04,0.2269999999999999,22.7%,102
Paul Skenes,paul skenes,PIT,139.0,3.25,3.17,0.2269999999999999,22.7%,99
Erik Sabrowski,erik sabrowski,CLE,37.0,3.65,3.17,0.226,22.6%,111
Justin Slaten,justin slaten,BOS,31.1,2.81,2.76,0.226,22.6%,108
Hagen Smith,hagen smith,CWS,8.0,2.65,3.36,0.226,22.6%,108
Trevor Williams,trevor williams,WSH,17.0,2.98,2.77,0.225,22.5%,94
Cristopher Sánchez,cristopher snchez,PHI,168.1,2.55,2.83,0.223,22.3%,117
Ty Blach,ty blach,CHC,3.0,2.26,1.47,0.222,22.2%,110
Zack Wheeler,zack wheeler,PHI,124.1,3.07,3.2,0.22,22.0%,105
Paul Sewald,paul sewald,2 Tms,42.0,4.26,3.52,0.22,22.0%,107
Daniel Duarte,daniel duarte,NYM,23.0,3.38,2.93,0.217,21.7%,102
Blake Weiman,blake weiman,LAA,8.0,2.97,3.02,0.216,21.6%,95
Ian Seymour,ian seymour,TB,101.1,3.6,3.21,0.216,21.6%,103
Pete Fairbanks,pete fairbanks,MIA,40.1,3.96,3.19,0.215,21.5%,123
Jacob Latz,jacob latz,TEX,59.0,3.36,2.98,0.215,21.5%,112
Drew Rasmussen,drew rasmussen,TB,140.1,3.22,3.26,0.215,21.5%,109
Tyron Guerrero,tyron guerrero,BOS,34.2,2.85,2.62,0.214,21.4%,112
Michael Grove,michael grove,TB,7.0,3.74,3.42,0.214,21.4%,93
Garrett Acton,garrett acton,MIN,6.2,3.77,3.02,0.214,21.4%,101
Luis Gastelum,luis gastelum,STL,21.2,3.0,2.86,0.213,21.3%,101
Gerrit Cole,gerrit cole,NYY,92.2,3.5,3.39,0.213,21.3%,103
Brandon Woodruff,brandon woodruff,MIL,45.1,3.87,3.61,0.213,21.3%,95
Reid Detmers,reid detmers,LAA,149.0,3.49,3.37,0.212,21.2%,104
Joe Ryan,joe ryan,MIN,125.2,3.61,3.4,0.212,21.2%,107
Steven Okert,steven okert,HOU,64.2,3.92,3.26,0.211,21.1%,114
Garrett Cleavinger,garrett cleavinger,TB,39.2,3.23,3.02,0.21,21.0%,110
Payton Tolle,payton tolle,BOS,120.0,3.64,3.43,0.209,20.9%,114
Anthony Bender,anthony bender,MIA,34.1,3.37,2.99,0.207,20.7%,114
Aaron Ashby,aaron ashby,MIL,73.0,2.89,2.96,0.207,20.7%,119
Luis Mey,luis mey,CIN,20.1,3.46,3.23,0.207,20.7%,106
Brock Stewart,brock stewart,LAD,17.1,3.44,3.01,0.206,20.6%,107
Bryan Baker,bryan baker,TB,52.0,3.37,3.03,0.206,20.6%,117
Dedniel Núñez,dedniel nez,NYM,7.1,3.65,3.24,0.206,20.6%,101
Trent Harris,trent harris,SF,7.0,2.52,2.93,0.206,20.6%,99
Aroldis Chapman,aroldis chapman,BOS,44.2,3.22,3.07,0.204,20.4%,116
Braxton Ashcraft,braxton ashcraft,PIT,155.1,3.2,3.33,0.204,20.4%,107
David Bednar,david bednar,NYY,57.1,3.0,2.86,0.203,20.3%,104
Tyler Zuber,tyler zuber,MIA,27.1,3.43,2.98,0.203,20.3%,114
Shohei Ohtani,shohei ohtani,LAD,85.2,3.22,3.3,0.203,20.3%,114
Juan Morillo,juan morillo,ARI,51.1,3.03,2.91,0.203,20.3%,109
Ryan Fernandez,ryan fernandez,STL,15.1,3.29,3.08,0.203,20.3%,96
Chase Burns,chase burns,CIN,139.2,3.45,3.46,0.203,20.3%,112
Daniel Palencia,daniel palencia,CHC,17.2,3.35,3.1,0.203,20.3%,100
Cade Cavalli,cade cavalli,WSH,148.2,3.23,3.31,0.2019999999999999,20.2%,102
Cody Ponce,cody ponce,TOR,2.1,3.74,3.45,0.2,20.0%,95
Carlos Vargas,carlos vargas,SEA,2.1,3.09,3.12,0.2,20.0%,111
Hunter Stratton,hunter stratton,2 Tms,3.1,1.74,2.25,0.2,20.0%,106
Sammy Peralta,sammy peralta,2 Tms,8.2,4.37,3.28,0.2,20.0%,94
Garrett Stallings,garrett stallings,MIL,8.0,3.66,3.2,0.2,20.0%,88
Luke Little,luke little,CHC,1.0,2.6,1.92,0.2,20.0%,98
Spencer Bivens,spencer bivens,SF,2.0,3.1,3.04,0.2,20.0%,118
William Kempner,william kempner,MIA,12.1,3.87,3.16,0.2,20.0%,116
Logan Gilbert,logan gilbert,SEA,155.1,3.58,3.5,0.2,20.0%,110
Luke Weaver,luke weaver,2 Tms,49.2,3.59,3.12,0.1989999999999999,19.9%,101
Hunter Greene,hunter greene,CIN,27.2,3.59,3.58,0.198,19.8%,111
Caleb Thielbar,caleb thielbar,CHC,40.2,3.87,3.26,0.1969999999999999,19.7%,114
Blake Snell,blake snell,LAD,21.0,3.04,3.41,0.195,19.5%,116
Sean Burke,sean burke,CWS,146.0,3.72,3.5,0.195,19.5%,99
Bradgley Rodriguez,bradgley rodriguez,SD,58.0,3.33,3.09,0.1939999999999999,19.4%,102
Erik Miller,erik miller,2 Tms,42.0,3.06,3.23,0.193,19.3%,118
Bryan Woo,bryan woo,SEA,138.1,3.71,3.59,0.192,19.2%,109
Dylan Dodd,dylan dodd,ATL,40.2,3.82,3.32,0.19,19.0%,107
Emmet Sheehan,emmet sheehan,LAD,95.1,3.96,3.65,0.1889999999999999,18.9%,100
Nathan Eovaldi,nathan eovaldi,TEX,132.2,3.34,3.44,0.1889999999999999,18.9%,96
Yaramil Hiraldo,yaramil hiraldo,BAL,7.2,4.6,3.64,0.1889999999999999,18.9%,104
Matt Festa,matt festa,CLE,54.1,3.82,3.24,0.1889999999999999,18.9%,101
Yoshinobu Yamamoto,yoshinobu yamamoto,LAD,151.2,3.37,3.49,0.1889999999999999,18.9%,102
Garrett Crochet,garrett crochet,BOS,30.0,3.73,3.58,0.188,18.8%,113
Elvis Alvarado,elvis alvarado,OAK,42.0,3.96,3.31,0.188,18.8%,113
Michael Petersen,michael petersen,MIA,53.2,3.96,3.31,0.188,18.8%,112
Parker Messick,parker messick,CLE,155.0,3.35,3.53,0.188,18.8%,97
Kirby Yates,kirby yates,2 Tms,38.0,4.09,3.33,0.188,18.8%,88
Mark Leiter Jr.,mark leiter jr,OAK,33.2,3.47,3.17,0.188,18.8%,92
Bryse Wilson,bryse wilson,3 Tms,29.2,3.42,3.28,0.188,18.8%,93
Jack Anderson,jack anderson,2 Tms,12.1,3.46,3.26,0.188,18.8%,91
Gregory Soto,gregory soto,PIT,56.0,3.61,3.25,0.187,18.7%,112
Brandon Eisert,brandon eisert,2 Tms,34.1,3.39,3.26,0.187,18.7%,83
Chase Shugart,chase shugart,PHI,44.0,3.93,3.29,0.186,18.6%,103
Shota Imanaga,shota imanaga,CHC,145.1,3.87,3.69,0.186,18.6%,92
Tyler Wells,tyler wells,2 Tms,63.1,4.08,3.51,0.185,18.5%,96
Brett Kerry,brett kerry,LAA,13.2,3.32,3.14,0.185,18.5%,86
Ryan Weathers,ryan weathers,NYY,137.1,3.23,3.47,0.185,18.5%,103
Griffin Jax,griffin jax,TB,91.2,3.32,3.52,0.185,18.5%,104
Christian Scott,christian scott,NYM,89.1,3.84,3.69,0.185,18.5%,107
Tim Mayza,tim mayza,PHI,58.1,3.21,3.17,0.184,18.4%,97
Raisel Iglesias,raisel iglesias,ATL,48.0,3.69,3.3,0.184,18.4%,96
Jacob Webb,jacob webb,CHC,57.2,3.35,3.25,0.183,18.3%,98
Michael Rucker,michael rucker,SEA,30.0,3.44,3.23,0.182,18.2%,102
Rico Garcia,rico garcia,BAL,55.2,3.69,3.32,0.181,18.1%,99
Dylan Smith,dylan smith,SF,28.1,4.05,3.45,0.18,18.0%,105
Grant Wolfram,grant wolfram,BAL,40.0,3.73,3.27,0.18,18.0%,111
Nick Frasso,nick frasso,COL,8.0,4.1,3.66,0.179,17.9%,98
Evan Phillips,evan phillips,LAD,15.1,4.21,3.49,0.179,17.9%,115
Bryce Miller,bryce miller,SEA,94.0,3.87,3.74,0.178,17.8%,107
Burch Smith,burch smith,DET,17.0,3.12,3.17,0.178,17.8%,97
Nolan McLean,nolan mclean,NYM,148.2,3.58,3.65,0.178,17.8%,107
Ryan Zeferjahn,ryan zeferjahn,2 Tms,58.2,3.88,3.47,0.178,17.8%,117
Ryan Helsley,ryan helsley,BAL,15.1,3.19,3.31,0.176,17.6%,121
Chase Solesky,chase solesky,TB,3.0,3.43,3.18,0.176,17.6%,109
Jared Jones,jared jones,PIT,68.0,3.88,3.76,0.176,17.6%,100
MacKenzie Gore,mackenzie gore,TEX,145.2,3.79,3.73,0.176,17.6%,99
Alex Hoppe,alex hoppe,2 Tms,34.2,3.05,3.17,0.176,17.6%,111
Drew Anderson,drew anderson,DET,81.1,3.61,3.41,0.175,17.5%,99
Jeremiah Estrada,jeremiah estrada,SD,31.0,3.6,3.46,0.175,17.5%,112
Alek Jacob,alek jacob,SD,5.0,4.6,3.41,0.174,17.4%,86
Ben Brown,ben brown,CHC,68.0,3.46,3.53,0.174,17.4%,102
Emilio Pagán,emilio pagn,CIN,30.1,4.77,3.78,0.173,17.3%,104
Max Meyer,max meyer,MIA,111.0,3.73,3.75,0.173,17.3%,98
Cole Sulser,cole sulser,TB,46.1,3.78,3.44,0.173,17.3%,98
A.J. Minter,aj minter,2 Tms,32.1,4.0,3.5,0.172,17.2%,102
Emerson Hancock,emerson hancock,SEA,133.2,3.82,3.76,0.171,17.1%,101
Kevin Ginkel,kevin ginkel,ARI,55.0,3.84,3.44,0.171,17.1%,95
Kevin Kelly,kevin kelly,TB,59.2,2.85,2.66,0.171,17.1%,115
Franco Aleman,franco aleman,CLE,18.2,4.28,3.5,0.171,17.1%,101
Kevin Gausman,kevin gausman,2 Tms,150.1,3.77,3.8,0.171,17.1%,98
José Fermin,jos fermin,LAA,43.2,3.56,3.37,0.17,17.0%,104
Steven Cruz,steven cruz,KC,49.2,3.7,3.42,0.17,17.0%,108
José Alvarado,jos alvarado,PHI,47.0,4.1,3.46,0.17,17.0%,116
Michael Soroka,michael soroka,ARI,95.1,3.72,3.79,0.17,17.0%,94
Joe Mantiply,joe mantiply,TOR,17.2,3.41,3.27,0.1689999999999999,16.9%,112
Ty Madden,ty madden,DET,39.0,3.81,3.47,0.1689999999999999,16.9%,88
Aaron Nola,aaron nola,PHI,137.0,3.79,3.81,0.1689999999999999,16.9%,104
Devin Williams,devin williams,NYM,38.2,3.6,3.49,0.1689999999999999,16.9%,110
Hunter Harvey,hunter harvey,CHC,4.0,4.1,3.46,0.1669999999999999,16.7%,106
Jake Rogers,jake rogers,DET,2.1,3.73,3.22,0.1669999999999999,16.7%,31
Jhonathan Díaz,jhonathan daz,SEA,1.1,3.85,3.62,0.1669999999999999,16.7%,97
Seth Martinez,seth martinez,BOS,1.0,5.6,3.62,0.1669999999999999,16.7%,111
Evan Sisk,evan sisk,PIT,40.2,4.03,3.46,0.1669999999999999,16.7%,105
Joey Estes,joey estes,OAK,4.1,4.02,4.25,0.1669999999999999,16.7%,89
Edgardo Henriquez,edgardo henriquez,LAD,52.2,3.83,3.48,0.1669999999999999,16.7%,127
Rolddy Muñoz,rolddy muoz,ATL,2.0,3.1,2.99,0.1669999999999999,16.7%,93
Kyle Hurt,kyle hurt,LAD,41.0,3.82,3.53,0.1669999999999999,16.7%,94
Eiberson Castellano,eiberson castellano,COL,3.0,2.75,2.17,0.1669999999999999,16.7%,90
Robert Suarez,robert suarez,ATL,32.0,3.39,3.34,0.165,16.5%,109
Tommy Nance,tommy nance,2 Tms,48.1,3.26,3.33,0.165,16.5%,104
Eury Pérez,eury prez,MIA,127.2,3.95,3.87,0.165,16.5%,115
Eduard Bazardo,eduard bazardo,SEA,59.0,3.97,3.56,0.165,16.5%,104
Enyel De Los Santos,enyel de los santos,HOU,60.0,3.92,3.54,0.165,16.5%,95
Connor Brogdon,connor brogdon,CLE,15.1,4.31,3.7,0.1639999999999999,16.4%,96
Casey Mize,casey mize,2 Tms,104.2,4.15,4.05,0.1639999999999999,16.4%,88
Spencer Miles,spencer miles,TOR,80.1,3.22,3.24,0.1639999999999999,16.4%,101
Dean Kremer,dean kremer,2 Tms,58.2,3.86,3.89,0.163,16.3%,91
Ranger Suarez,ranger suarez,BOS,118.1,3.56,3.82,0.163,16.3%,94
Caleb Kilian,caleb kilian,2 Tms,47.2,3.77,3.5,0.163,16.3%,103
Brooks Raley,brooks raley,2 Tms,48.1,3.9,3.53,0.162,16.2%,109
Peyton Gray,peyton gray,TEX,51.2,4.04,3.55,0.162,16.2%,92
Yennier Cano,yennier cano,BAL,41.2,3.14,2.85,0.162,16.2%,109
Andrew Nardi,andrew nardi,MIA,22.2,4.02,3.56,0.162,16.2%,109
Jake Bird,jake bird,2 Tms,37.2,4.16,3.53,0.161,16.1%,110
Drew Rom,drew rom,2 Tms,11.1,4.11,3.68,0.161,16.1%,90
Jack Perkins,jack perkins,OAK,90.1,4.28,3.8,0.161,16.1%,98
Taj Bradley,taj bradley,MIN,140.2,3.98,3.96,0.16,16.0%,109
Colton Gordon,colton gordon,HOU,9.1,4.12,3.68,0.16,16.0%,98
Jordan Montgomery,jordan montgomery,TEX,10.0,3.14,3.24,0.159,15.9%,91
Foster Griffin,foster griffin,2 Tms,149.1,3.8,3.86,0.159,15.9%,98
Greg Weissert,greg weissert,BOS,49.1,3.88,3.53,0.159,15.9%,104
Keegan Thompson,keegan thompson,COL,12.0,4.14,3.78,0.158,15.8%,91
Josh Simpson,josh simpson,SEA,7.1,5.08,3.78,0.158,15.8%,109
Spencer Strider,spencer strider,ATL,39.0,4.36,4.14,0.158,15.8%,97
Fernando Cruz,fernando cruz,NYY,53.2,4.35,3.75,0.157,15.7%,98
Abner Uribe,abner uribe,MIL,48.1,3.43,3.36,0.157,15.7%,109
Max Fried,max fried,NYY,86.1,3.58,3.82,0.157,15.7%,106
Cole Winn,cole winn,TEX,46.2,3.85,3.6,0.156,15.6%,99
Logan Allen,logan allen,CLE,9.1,3.79,3.61,0.156,15.6%,97
Mason Fluharty,mason fluharty,TOR,52.0,4.09,3.68,0.155,15.5%,105
Victor Mederos,victor mederos,ATL,23.0,4.51,3.75,0.155,15.5%,102
Sonny Gray,sonny gray,BOS,138.2,3.64,3.83,0.155,15.5%,101
Hogan Harris,hogan harris,OAK,56.2,3.84,3.66,0.154,15.4%,105
Connor Prielipp,connor prielipp,MIN,93.2,3.97,3.96,0.154,15.4%,103
Jack Flaherty,jack flaherty,DET,86.1,4.45,4.12,0.154,15.4%,100
Bryan Hudson,bryan hudson,CWS,53.2,3.9,3.62,0.154,15.4%,107
Sean Manaea,sean manaea,NYM,117.0,4.2,3.85,0.154,15.4%,103
Wyatt Olds,wyatt olds,BOS,3.1,2.94,3.66,0.154,15.4%,107
Chase Dollander,chase dollander,COL,44.0,3.93,3.66,0.153,15.3%,110
Shane Drohan,shane drohan,MIL,105.1,3.9,3.88,0.153,15.3%,99
Mason Englert,mason englert,TB,35.2,4.25,3.95,0.153,15.3%,95
Travis Adams,travis adams,MIN,42.0,4.13,3.71,0.151,15.1%,93
Connelly Early,connelly early,BOS,91.2,4.09,3.99,0.151,15.1%,103
Kyle Hart,kyle hart,SD,53.1,3.81,3.58,0.151,15.1%,107
Blake Treinen,blake treinen,LAD,23.0,3.73,3.57,0.15,15.0%,108
Luis Medina,luis medina,OAK,58.1,4.13,3.74,0.15,15.0%,104
Jhony Brito,jhony brito,SD,5.1,4.7,4.24,0.15,15.0%,104
Matthew Liberatore,matthew liberatore,STL,125.0,4.06,4.04,0.15,15.0%,98
Brady Basso,brady basso,OAK,24.0,3.83,3.8,0.15,15.0%,99
Jovani Morán,jovani morn,BOS,54.0,3.97,3.72,0.149,14.9%,100
Tejay Antone,tejay antone,CIN,42.0,4.26,3.65,0.149,14.9%,101
Kyle Backhus,kyle backhus,PHI,20.0,3.87,3.59,0.149,14.9%,110
Lake Bachar,lake bachar,2 Tms,71.2,4.28,3.8,0.149,14.9%,98
Robby Ahlstrom,robby ahlstrom,TEX,30.1,3.92,3.65,0.148,14.8%,107
Will Klein,will klein,LAD,41.2,3.51,3.47,0.148,14.8%,95
Joe Boyle,joe boyle,TB,19.0,4.04,4.0,0.148,14.8%,109
Will Warren,will warren,NYY,122.0,3.83,3.99,0.148,14.8%,103
Kyle Leahy,kyle leahy,STL,126.1,3.7,3.93,0.147,14.7%,92
Graham Ashcraft,graham ashcraft,CIN,27.0,3.56,3.73,0.147,14.7%,112
Justin Sterner,justin sterner,OAK,42.2,4.14,3.73,0.147,14.7%,100
Robert Gasser,robert gasser,MIL,77.0,4.37,4.15,0.147,14.7%,105
Will Vest,will vest,DET,26.2,3.43,3.2,0.147,14.7%,105
Wilber Dotel,wilber dotel,PIT,28.2,3.71,3.67,0.146,14.6%,102
Cole Ragans,cole ragans,KC,35.1,4.37,4.29,0.146,14.6%,109
Dustin May,dustin may,2 Tms,124.0,3.95,4.02,0.145,14.5%,102
JoJo Romero,jojo romero,STL,43.0,3.89,3.59,0.145,14.5%,109
Tanner Gordon,tanner gordon,COL,76.2,4.47,4.05,0.145,14.5%,86
Bennett Sousa,bennett sousa,HOU,16.2,4.3,3.85,0.145,14.5%,107
Alex Vesia,alex vesia,LAD,45.1,4.37,3.99,0.144,14.4%,115
Colin Holderman,colin holderman,CLE,51.0,3.97,3.51,0.144,14.4%,108
Joey Cantillo,joey cantillo,CLE,130.1,3.89,4.08,0.144,14.4%,95
George Kirby,george kirby,SEA,140.0,3.91,4.05,0.143,14.3%,101
Nicky Lopez,nicky lopez,TEX,1.0,2.6,3.07,0.143,14.3%,14
Shane McClanahan,shane mcclanahan,TB,107.1,3.98,4.07,0.142,14.2%,107
AJ Blubaugh,aj blubaugh,HOU,80.1,4.43,3.89,0.142,14.2%,103
José Urquidy,jos urquidy,2 Tms,19.0,4.26,3.78,0.141,14.1%,98
Ryan Gusto,ryan gusto,MIA,57.2,4.14,4.07,0.141,14.1%,96
Tyler Mahle,tyler mahle,2 Tms,118.1,3.94,4.09,0.141,14.1%,88
Brad Keller,brad keller,PHI,31.1,3.97,3.71,0.141,14.1%,109
Matt Brash,matt brash,SEA,16.2,3.99,3.7,0.141,14.1%,102
Trevor Rogers,trevor rogers,BAL,132.2,4.17,4.15,0.14,14.0%,102
Seranthony Domínguez,seranthony domnguez,2 Tms,47.2,4.13,3.85,0.14,14.0%,110
Mick Abel,mick abel,MIN,20.1,4.3,4.1,0.14,14.0%,111
Trevor Richards,trevor richards,2 Tms,64.0,4.59,4.06,0.14,14.0%,90
Peter Lambert,peter lambert,HOU,122.1,4.44,4.19,0.14,14.0%,92
Justin Wrobleski,justin wrobleski,LAD,126.1,4.18,4.16,0.14,14.0%,97
Jake Bennett,jake bennett,BOS,87.2,3.88,4.1,0.139,13.9%,93
Yohan Ramírez,yohan ramrez,PIT,71.1,4.01,3.81,0.139,13.9%,109
Kenley Jansen,kenley jansen,DET,34.1,4.61,4.18,0.139,13.9%,109
Joel Payamps,joel payamps,ATL,7.2,4.86,4.16,0.139,13.9%,96
TJ Shook,tj shook,COL,7.2,4.6,4.11,0.139,13.9%,84
Cionel Pérez,cionel prez,2 Tms,41.2,3.5,3.45,0.138,13.8%,106
